Field_ID,User_ID,User_Rating,Field_Name,Field_Rating,Field_Types
19,8386,3,Cililitan Badminton Hall,4.3,Badminton
3,1720,5,Planet Futsal,4.2,Futsal
19,8464,1,Cililitan Badminton Hall,4.3,Badminton
3,1715,5,Planet Futsal,4.3,Futsal
14,6494,4,Kuningan Village Futsal Field 1,4.5,Futsal
1,110,5,Champion Futsal,4.5,Futsal
18,7646,5,GOR Badminton Mega Kuningan,4.2,Badminton
19,8101,5,Cililitan Badminton Hall,4.2,Badminton
19,8126,5,Cililitan Badminton Hall,4.2,Badminton
10,3926,4,AS FUTSAL,4.3,Futsal
3,1858,4,Planet Futsal,4.2,Futsal
10,3705,5,AS FUTSAL,4.5,Futsal
12,4530,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
1,560,5,Champion Futsal,4.5,Futsal
18,7632,5,GOR Badminton Mega Kuningan,4.5,Badminton
18,7530,5,GOR Badminton Mega Kuningan,4.3,Badminton
14,6114,5,Kuningan Village Futsal Field 1,4.2,Futsal
19,8035,5,Cililitan Badminton Hall,4.5,Badminton
1,71,5,Champion Futsal,4.5,Futsal
1,467,5,Champion Futsal,4.1,Futsal
11,4255,5,Futsal Sani,4.4,Futsal
2,1527,3,Centro Futsal,4.3,Futsal
13,5523,5,Pelangi Futsal,4.1,Futsal
11,4301,5,Futsal Sani,4.5,Futsal
12,4649,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
14,6145,5,Kuningan Village Futsal Field 1,4.6,Futsal
15,6820,5,Gedung Bulutangkis Gelora Sunter,4.2,Badminton
5,2482,3,GOR Kurnia Badminton Court,4.5,Badminton
6,2632,5,Lapangan Bulu Tangkis Patra,4.5,Badminton
1,232,5,Champion Futsal,4.3,Futsal
14,5949,5,Kuningan Village Futsal Field 1,4.2,Futsal
5,2427,4,GOR Kurnia Badminton Court,4.6,Badminton
15,6838,5,Gedung Bulutangkis Gelora Sunter,4.5,Badminton
1,340,5,Champion Futsal,4.3,Futsal
14,5931,5,Kuningan Village Futsal Field 1,4.5,Futsal
1,382,5,Champion Futsal,4.3,Futsal
20,8578,5,Tunas Bugar Badminton Hall,4.2,Badminton
10,3523,5,AS FUTSAL,4.2,Futsal
19,8008,5,Cililitan Badminton Hall,4.2,Badminton
10,3904,4,AS FUTSAL,4.4,Futsal
2,1519,3,Centro Futsal,4.3,Futsal
14,6218,5,Kuningan Village Futsal Field 1,4.2,Futsal
5,2328,5,GOR Kurnia Badminton Court,4.5,Badminton
18,7792,4,GOR Badminton Mega Kuningan,4.3,Badminton
3,1768,5,Planet Futsal,4.5,Futsal
12,4753,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
3,1900,3,Planet Futsal,4.5,Futsal
1,646,4,Champion Futsal,4.2,Futsal
19,7878,5,Cililitan Badminton Hall,4.4,Badminton
2,1164,5,Centro Futsal,4.5,Futsal
1,248,5,Champion Futsal,4.6,Futsal
15,6913,4,Gedung Bulutangkis Gelora Sunter,4.3,Badminton
13,5628,3,Pelangi Futsal,4.5,Futsal
12,4873,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,5319,3,Futsal Court Cilandak Sport Centre,4.2,Futsal
19,8136,5,Cililitan Badminton Hall,4.2,Badminton
5,2268,5,GOR Kurnia Badminton Court,4.3,Badminton
9,3104,5,Go All Futsal,4.2,Futsal
10,3557,5,AS FUTSAL,4.5,Futsal
12,4528,5,Futsal Court Cilandak Sport Centre,4.4,Futsal
17,7277,5,Lapangan Bulutangkis Talenta,4.5,Badminton
12,4644,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
1,451,5,Champion Futsal,4.3,Futsal
13,5441,5,Pelangi Futsal,4.2,Futsal
5,2221,5,GOR Kurnia Badminton Court,4.5,Badminton
12,4476,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
14,6133,5,Kuningan Village Futsal Field 1,4.3,Futsal
20,8762,4,Tunas Bugar Badminton Hall,4.2,Badminton
10,3493,5,AS FUTSAL,4.3,Futsal
20,8740,4,Tunas Bugar Badminton Hall,4.5,Badminton
6,2607,5,Lapangan Bulu Tangkis Patra,4.5,Badminton
1,421,5,Champion Futsal,4.2,Futsal
19,8323,4,Cililitan Badminton Hall,4.3,Badminton
3,1806,4,Planet Futsal,4.3,Futsal
14,5658,5,Kuningan Village Futsal Field 1,4.1,Futsal
11,4411,3,Futsal Sani,4.4,Futsal
2,939,5,Centro Futsal,4.5,Futsal
12,4466,5,Futsal Court Cilandak Sport Centre,4.6,Futsal
7,2957,1,Supreme Arena Badminton,4.6,Badminton
15,6851,5,Gedung Bulutangkis Gelora Sunter,4.2,Badminton
4,2170,1,Royal Futsal,4.4,Futsal
2,1300,5,Centro Futsal,4.3,Futsal
13,5589,4,Pelangi Futsal,4.1,Futsal
11,4352,4,Futsal Sani,4.3,Futsal
14,6016,5,Kuningan Village Futsal Field 1,4.3,Futsal
14,5740,5,Kuningan Village Futsal Field 1,4.5,Futsal
6,2596,5,Lapangan Bulu Tangkis Patra,4.2,Badminton
5,2408,4,GOR Kurnia Badminton Court,4.5,Badminton
18,7572,5,GOR Badminton Mega Kuningan,4.2,Badminton
10,3538,5,AS FUTSAL,4.5,Futsal
12,4642,5,Futsal Court Cilandak Sport Centre,4.5,Futsal
12,4506,5,Futsal Court Cilandak Sport Centre,4.3,Futsal
14,6527,4,Kuningan Village Futsal Field 1,4.2,Futsal
